example_id,thread_id,customer_message,my_intent_label,escalate_or_auto,acceptable_reply_note,disagree_with_reply_note,spotify_reply,provisional_intent_guess,full_thread_reference
E011,14129,"@115888 next update: make a sleep timer option. also, try and get comparability with Siri.",Feature Requests & Device Support,auto,Acknowledge the sleep timer and Siri requests and provide any available information or feedback option.,,"@478733 1: Hi there. A sleep timer is a great idea! Help make it happen by adding support here: https://t.co/pMmX7wXq24...

@478733 2: We don't have more info to share about Siri integration at the moment. Watch this space for updates: https://t.co/3KnTWglNFC /MG",Feature Requests & Device Support,"[Sat Nov 04 05:48:51 +0000 2017] [Customer @478733]: @115888 next update: make a sleep timer option. also, try and get comparability with Siri. 
[Sat Nov 04 06:15:29 +0000 2017] [Spotify Support @SpotifyCares]: @478733 1: Hi there. A sleep timer is a great idea! Help make it happen by adding support here: https://t.co/pMmX7wXq24... 
[Sat Nov 04 06:16:53 +0000 2017] [Spotify Support @SpotifyCares]: @478733 2: We don't have more info to share about Siri integration at the moment. Watch this space for updates: https://t.co/3KnTWglNFC /MG"
E012,6681,"@SpotifyCares hi how do I download Spotify to my tv?!

@SpotifyCares Thank you! 🙂",Feature Requests & Device Support,auto,Give clear steps for getting Spotify onto a compatible TV.,,"@135632 Hi! We have more info on that here: https://t.co/I5ZicdxVMi. Let us know if you need anything else /SV

@135632 Any time! https://t.co/SABr6eaySK /SV",Playback & Technical Errors,"[Wed Oct 18 11:07:44 +0000 2017] [Customer @135632]: @SpotifyCares hi how do I download Spotify to my tv?! 
[Wed Oct 18 11:54:40 +0000 2017] [Spotify Support @SpotifyCares]: @135632 Hi! We have more info on that here: https://t.co/I5ZicdxVMi. Let us know if you need anything else /SV 
[Wed Oct 18 12:00:49 +0000 2017] [Customer @135632]: @SpotifyCares Thank you! 🙂 
[Wed Oct 18 13:02:35 +0000 2017] [Spotify Support @SpotifyCares]: @135632 Any time! https://t.co/SABr6eaySK /SV"
E013,4327,"@115888 your Mac based app is terrible, slow and constantly crashes. Latest updates have done nothing to improve it",Playback & Technical Errors,escalate,"The Mac app has persistent crashing and performance problems, so further technical investigation is appropriate.",The response only asked for OS and version information and did not yet address the repeated crashing problem.,"@541522 Hey Chris, help's here. Can you let us know the exact OS X and Spotify versions you're using? We'll see what we can suggest /AY",Playback & Technical Errors,"[Fri Oct 13 10:21:40 +0000 2017] [Customer @541522]: @115888 your Mac based app is terrible, slow and constantly crashes. Latest updates have done nothing to improve it 
[Fri Oct 13 12:10:45 +0000 2017] [Spotify Support @SpotifyCares]: @541522 Hey Chris, help's here. Can you let us know the exact OS X and Spotify versions you're using? We'll see what we can suggest /AY"
E014,28243,"@SpotifyCares Hey, Add ""Miss You"" by @3212 on ""Today's Top Hits"" playlist! @115888",Playlist & Library Management,auto,Acknowledge the request to add the song to Today’s Top Hits and explain whether the request can be accommodated.,,@260318 Hey! We've just sent a DM your way. Check your Messages /MV,Playlist & Library Management,"[Sun Dec 03 16:19:47 +0000 2017] [Customer @260318]: @SpotifyCares Hey, Add ""Miss You"" by @3212 on ""Today's Top Hits"" playlist! @115888 
[Sun Dec 03 17:38:17 +0000 2017] [Spotify Support @SpotifyCares]: @260318 Hey! We've just sent a DM your way. Check your Messages /MV"
E015,25272,stop playing and bring back the touch preview option @115888,Feature Requests & Device Support,auto,Acknowledge the request to bring back the touch preview feature and provide the relevant information or feedback path.,The historical response was quite vague and did not directly explain what happened to the feature.,@804369 Hey there! We have more info about this here: https://t.co/pXBCq8GlsI /KL,Content Availability & Licensing,"[Tue Nov 28 17:26:32 +0000 2017] [Customer @804369]: stop playing and bring back the touch preview option @115888 
[Tue Nov 28 19:01:22 +0000 2017] [Spotify Support @SpotifyCares]: @804369 Hey there! We have more info about this here: https://t.co/pXBCq8GlsI /KL"
E016,11601,But also woke up to realise @115888 has deleted my whole library 🤔  #winsomelosesome #startinganewsonglist #mysundaysorted,Playlist & Library Management,escalate,"The customer says their entire library disappeared, so the issue needs account-specific investigation.",The reply asked whether everything disappeared but did not immediately move toward account recovery despite the major data-loss concern.,"@579120 Hi Lisa-Marie! This shouldn't be happening. Did everything under Library disappear, or were your offline songs desynced? We'll help /SC",Playlist & Library Management,"[Sun Oct 29 08:56:46 +0000 2017] [Customer @579120]: But also woke up to realise @115888 has deleted my whole library 🤔  #winsomelosesome #startinganewsonglist #mysundaysorted 
[Sun Oct 29 11:00:23 +0000 2017] [Spotify Support @SpotifyCares]: @579120 Hi Lisa-Marie! This shouldn't be happening. Did everything under Library disappear, or were your offline songs desynced? We'll help /SC"
E017,17666,soo apperently @115888 doesnt let me download the app since im not in the country lmao is it my email?,Feature Requests & Device Support,auto,Explain whether the app is available in the customer's country and what they can do next.,,@664234 Hi there! We've just sent a DM your way. Let's carry on chatting there /AU,Playback & Technical Errors,"[Sat Nov 11 15:09:50 +0000 2017] [Customer @664234]: soo apperently @115888 doesnt let me download the app since im not in the country lmao is it my email? 
[Sat Nov 11 16:50:34 +0000 2017] [Spotify Support @SpotifyCares]: @664234 Hi there! We've just sent a DM your way. Let's carry on chatting there /AU"
E018,26043,"@115888 the last version of Spotify on IPhone crashes often. It is getting annoying. When will there be an update with bug fixes?

@SpotifyCares Spotify version 8.4.28.1104 IOS version 11.0.3 (IPhone 6)

@SpotifyCares Yes, at random moments",Playback & Technical Errors,escalate,"The app repeatedly crashes even after the customer provided device and version details, so deeper troubleshooting is needed.",The historical reply kept using basic troubleshooting instead of addressing the repeated crashes more directly.,"@812745 Hey, help's here! Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /JN

@812745 Thanks! Does the app crash whenever you play your music? /JN

@812745 Got it. Does turning your device off, then back on again help? /JN",Playback & Technical Errors,"[Wed Nov 29 12:12:26 +0000 2017] [Customer @812745]: @115888 the last version of Spotify on IPhone crashes often. It is getting annoying. When will there be an update with bug fixes? 
[Wed Nov 29 13:38:10 +0000 2017] [Spotify Support @SpotifyCares]: @812745 Hey, help's here! Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /JN 
[Wed Nov 29 13:51:15 +0000 2017] [Customer @812745]: @SpotifyCares Spotify version 8.4.28.1104 IOS version 11.0.3 (IPhone 6) 
[Wed Nov 29 14:13:22 +0000 2017] [Spotify Support @SpotifyCares]: @812745 Thanks! Does the app crash whenever you play your music? /JN 
[Wed Nov 29 14:48:46 +0000 2017] [Customer @812745]: @SpotifyCares Yes, at random moments 
[Wed Nov 29 14:57:18 +0000 2017] [Spotify Support @SpotifyCares]: @812745 Got it. Does turning your device off, then back on again help? /JN"
E019,1378,"Dear @115888 today’s New Music Friday was eh. No depth. May I make a suggestion? @188031

@SpotifyCares I’ll be waiting till next Friday hoping for some ear porn. Thanks for chatting",Feature Requests & Device Support,auto,Acknowledge the feedback about New Music Friday and explain that the suggestion can be passed to the curation team.,,"@188030 1: Hey Vanessa! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll...

@188030 2: pass on your suggestion. Let us know how you get on /MQ

@188030 No worries! If you ever need us again, just shout 🙂 /MQ",Feature Requests & Device Support,"[Fri Oct 06 20:01:37 +0000 2017] [Customer @188030]: Dear @115888 today’s New Music Friday was eh. No depth. May I make a suggestion? @188031 
[Fri Oct 06 21:14:22 +0000 2017] [Spotify Support @SpotifyCares]: @188030 1: Hey Vanessa! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll... 
[Fri Oct 06 21:14:28 +0000 2017] [Spotify Support @SpotifyCares]: @188030 2: pass on your suggestion. Let us know how you get on /MQ 
[Fri Oct 06 21:17:33 +0000 2017] [Customer @188030]: @SpotifyCares I’ll be waiting till next Friday hoping for some ear porn. Thanks for chatting 
[Fri Oct 06 21:20:07 +0000 2017] [Spotify Support @SpotifyCares]: @188030 No worries! If you ever need us again, just shout 🙂 /MQ"
E020,8219,"@SpotifyCares My student discount was terminated, but I am definitely still a student. Help",Subscription & Billing Issues,escalate,The student's discount has changed unexpectedly and needs account-level verification.,,"@330446 Hi Gavin, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TR https://t.co/ldFdZRiNAt",Subscription & Billing Issues,"[Fri Oct 20 22:44:04 +0000 2017] [Customer @330446]: @SpotifyCares My student discount was terminated, but I am definitely still a student. Help 
[Fri Oct 20 22:48:48 +0000 2017] [Spotify Support @SpotifyCares]: @330446 Hi Gavin, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TR https://t.co/ldFdZRiNAt"
E021,25050,@115888 can you PLEASE add @15883's Bastard and Goblin mixtapes??? Pleaaasseeeeeeee,Content Availability & Licensing,auto,Explain the availability of the requested mixtapes and provide the relevant content information.,,"@798418 Hey there! We’ve got some info about mixtapes here: https://t.co/MEjmIRL2eB. If there's anything else you need, just give us a shout 🙂 /KC",Feature Requests & Device Support,"[Tue Nov 28 02:21:17 +0000 2017] [Customer @798418]: @115888 can you PLEASE add @15883's Bastard and Goblin mixtapes??? Pleaaasseeeeeeee 
[Tue Nov 28 05:47:44 +0000 2017] [Spotify Support @SpotifyCares]: @798418 Hey there! We’ve got some info about mixtapes here: https://t.co/MEjmIRL2eB. If there's anything else you need, just give us a shout 🙂 /KC"
E022,15413,@115888 Can u implement a system where Spotify premium members can use their downloaded music for alarms? I need motivation in the mornings,Feature Requests & Device Support,auto,Acknowledge the request to use downloaded music as an alarm and provide a feedback option.,,@521982 Hi! We've just sent you a DM. Check your inbox /RH,Playback & Technical Errors,"[Tue Nov 07 05:01:12 +0000 2017] [Customer @521982]: @115888 Can u implement a system where Spotify premium members can use their downloaded music for alarms? I need motivation in the mornings 
[Tue Nov 07 05:12:40 +0000 2017] [Spotify Support @SpotifyCares]: @521982 Hi! We've just sent you a DM. Check your inbox /RH"
E023,22923,"@SpotifyCares could you please charge me again, cause at the first time, my limit credit card limit was exceeded...",Subscription & Billing Issues,escalate,The failed card transaction is account-specific and should be checked by support.,,@276198 Hey! The cavalry's here. Could you DM us your account's email address? We'll take a look backstage /AU https://t.co/ldFdZRiNAt,Subscription & Billing Issues,"[Wed Nov 22 22:25:41 +0000 2017] [Customer @276198]: @SpotifyCares could you please charge me again, cause at the first time, my limit credit card limit was exceeded... 
[Wed Nov 22 22:49:51 +0000 2017] [Spotify Support @SpotifyCares]: @276198 Hey! The cavalry's here. Could you DM us your account's email address? We'll take a look backstage /AU https://t.co/ldFdZRiNAt"
E024,16835,"Hi @115888 is there a way to block artists? I really don't want R Kelly in my life, thanks. Knowing him that momma rolling that body that got every man in here wishin is probably underage.",Feature Requests & Device Support,auto,Acknowledge the request to block artists and explain the current limitation or feedback option.,,"@642963 Hey Najaf! We can’t make any promises, but we’ll make sure to pass your feedback onto the right folks /FR",Feature Requests & Device Support,"[Thu Nov 09 23:51:35 +0000 2017] [Customer @642963]: Hi @115888 is there a way to block artists? I really don't want R Kelly in my life, thanks. Knowing him that momma rolling that body that got every man in here wishin is probably underage. 
[Fri Nov 10 01:24:06 +0000 2017] [Spotify Support @SpotifyCares]: @642963 Hey Najaf! We can’t make any promises, but we’ll make sure to pass your feedback onto the right folks /FR 
[Fri Nov 10 08:07:48 +0000 2017] [Customer @260226]: @SpotifyCares @642963 I would also love to block artists, but in my case it’s Pearl Jam. I just really don’t like them! 
[Fri Nov 10 10:10:07 +0000 2017] [Spotify Support @SpotifyCares]: @260226 Hey there! This isn't possible right now, but you can vote for the idea and help make it happen here: https://t.co/hlXvRg5Zog /GK 
[Fri Nov 10 11:15:48 +0000 2017] [Customer @260226]: @SpotifyCares I'm pretty sure you are mistaken about that, sadly. https://t.co/AjxaL34Gst 
[Fri Nov 10 12:05:03 +0000 2017] [Spotify Support @SpotifyCares]: @260226 Apologies for that. Here's an updated link: https://t.co/MsbeukVztP. In any case, we'll pass on your suggestion to the right team /GK"
E025,23654,@SpotifyCares I signed up for a student account but I was charged $9.99,Subscription & Billing Issues,escalate,"The student account was charged the wrong amount, so support needs to check the account and billing details.",,"@153878 Hi Hailey, help's here! Can you DM us with your account's username and email address? We'll check it out backstage /WW https://t.co/ldFdZRiNAt",Subscription & Billing Issues,"[Fri Nov 24 18:00:54 +0000 2017] [Customer @153878]: @SpotifyCares I signed up for a student account but I was charged $9.99 
[Fri Nov 24 19:35:41 +0000 2017] [Spotify Support @SpotifyCares]: @153878 Hi Hailey, help's here! Can you DM us with your account's username and email address? We'll check it out backstage /WW https://t.co/ldFdZRiNAt"
E026,12437,@115888 f you join a family spotify account can you transfer your playlists from your old premium account. I WANT MY PLAYLISTS BACK PLS,Playlist & Library Management,escalate,Transferring playlists from an old account requires account-specific investigation.,,"@583139 Hey there, help's here! Could you DM us your account's username or email address? We'll see what we can suggest /RE https://t.co/ldFdZRiNAt",Playlist & Library Management,"[Tue Oct 31 12:46:02 +0000 2017] [Customer @583139]: @115888 f you join a family spotify account can you transfer your playlists from your old premium account. I WANT MY PLAYLISTS BACK PLS 
[Tue Oct 31 14:21:24 +0000 2017] [Spotify Support @SpotifyCares]: @583139 Hey there, help's here! Could you DM us your account's username or email address? We'll see what we can suggest /RE https://t.co/ldFdZRiNAt"
E027,5707,"My @115888 keeps pausing and turning itself off? (Nobody else is logged in / it’s not synced to anything, I’ve only had it a few days) 🤔

@SpotifyCares Ill have to let you know in a few days, cant tell so soon, it happens over a spread-out time period. Thnx for the advice, Ill give it a try!",Playback & Technical Errors,auto,Suggest standard troubleshooting for the pausing issue and ask the customer to report whether it continues.,,"@449522 Hey Rebecca, help's here! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /PX

@449522 Okay! Just let us know if we can help with anything else. We'll be waiting 🙂 /PX",Other / Unclear,"[Mon Oct 16 15:22:07 +0000 2017] [Customer @449522]: My @115888 keeps pausing and turning itself off? (Nobody else is logged in / it’s not synced to anything, I’ve only had it a few days) 🤔 
[Mon Oct 16 17:29:10 +0000 2017] [Spotify Support @SpotifyCares]: @449522 Hey Rebecca, help's here! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /PX 
[Mon Oct 16 17:31:47 +0000 2017] [Customer @449522]: @SpotifyCares Ill have to let you know in a few days, cant tell so soon, it happens over a spread-out time period. Thnx for the advice, Ill give it a try! 
[Mon Oct 16 17:43:17 +0000 2017] [Spotify Support @SpotifyCares]: @449522 Okay! Just let us know if we can help with anything else. We'll be waiting 🙂 /PX"
