sample_id,thread_id,original_asker_id,num_unique_customer_authors,multi_author_merge,customer_message,spotify_reply,start_time,end_time
11,17602,407803,1,False,"@115888 @SpotifyCares I tapped on album artwork and now I can’t get back ... iPhone X problems ... please fix / update the app soon #HadToCloseTheApp https://t.co/XjoMWdc5i7

@SpotifyCares Yea that’s exactly what I ended up doing !! :$

@SpotifyCares No, It seems to be working fine today , it must have been a glitch in the IOS or something ! Thanks for the reply :)","@407803 Hey Hulio! Don't worry, we’re working on it as we speak. In the meantime, can you try closing and reopening the app? Does that help? /CX

@407803 Hey there! Is the issue still happening? Keep us posted /DF

@407803 No worries! If you ever need anything else, just shout and we'll come running 🏃 /DF",Sat Nov 11 10:24:32 +0000 2017,Sat Nov 11 23:02:29 +0000 2017
12,16891,646221,1,False,Why isn’t this available on @115888  https://t.co/ydEiX06mxG,@646221 Hey there! Is this the track you're looking for: https://t.co/dba3XqZZ7r? /FR,Fri Nov 10 02:16:42 +0000 2017,Fri Nov 10 04:31:53 +0000 2017
13,22418,157540,1,False,"@SpotifyCares windows Error 17 on trying to install on PC tried all troubleshoot options , not happy , £9.99 a month and it doesn’t work ! Help please

@SpotifyCares It’s windows 7

@SpotifyCares I tried that and it didn’t work but then I tried “Troubleshoot compatibility” and it worked 🙂, I’ve been trying to load this for a long time , felt I was wasting my money , but all seems okay now , thankyou.

@SpotifyCares I spoke too soon , after successfully installing I got an option at the top of Spotify screen to install latest version , stupidly I clicked that option now have a blank screen , Spotify icon has windows shield on it , can you help ?","@157540 Hey Roderick! The cavalry's here. Could you confirm the Windows version you're using? We'll see what we can suggest /KB

@157540 Got it! Let's try to cover all bases first. Can you right-click on the Spotify installer and select ""Run as administrator""? Let us know how it goes /KB

@157540 That's great to hear! Give us a shout if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /KB",Tue Nov 21 22:23:41 +0000 2017,Tue Nov 21 23:07:56 +0000 2017
14,18410,672209,1,False,@115888 @117153 any news on iPhone X support? Thank you!!,"@672209 Hey Grant. Don't worry, we’re working on it as we speak. Stay tuned! /TC",Mon Nov 13 09:33:58 +0000 2017,Mon Nov 13 11:56:32 +0000 2017
15,3915,364275,1,False,@115888 someone is hacking my account; Why can't I readily find a support phone # or email to fix it? It's shitty and you know it.,"@364275 1: Hi JoAnne! Sorry to hear that. We don't have phone support right now, but we'll be glad to help you via Twitter. You can also get... /AU

@364275 2: in touch with our Email team at https://t.co/XGIC7aZtMa. Let us know how you'd like to proceed /AU",Thu Oct 12 17:31:52 +0000 2017,Thu Oct 12 18:51:37 +0000 2017
16,6421,528039,1,False,"@SpotifyCares #Spotify Im a premium sub and app routinely deletes all music for no reason. 3rd time this month, been happening for years",@528039 Hey! Can you DM us your account's email address? We'll take a quick look backstage /CB https://t.co/ldFdZRiNAt,Tue Oct 17 19:48:21 +0000 2017,Tue Oct 17 21:26:03 +0000 2017
17,22853,274492,1,False,@SpotifyCares thank u for not accepting my credit card :) i even had to make a second account and try again and nothing works. i am so annoyed right now. help.,@274492 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,Wed Nov 22 19:52:11 +0000 2017,Wed Nov 22 21:25:24 +0000 2017
18,25624,807614,1,False,What happens? @115888 is not working! 🤨,@807614 Hey Erick! Everything should be running smoothly now. Let us know if you're still getting issues /GS,Tue Nov 28 21:08:54 +0000 2017,Wed Nov 29 00:23:52 +0000 2017
19,10316,411962,1,False,.@5795 why https://t.co/cGEKIe2ghU,@411962 Hey Chris! Can you give us more info about your concern? We'll see what we can do /NS,Wed Oct 25 23:43:47 +0000 2017,Wed Oct 25 23:51:09 +0000 2017
20,6393,551353,1,False,@SpotifyCares trying to sign up for premium but it is telling me my postal code (canada) is not valid...It definitely is...help?,"@551353 Hey Luke! Can you send us a screenshot of what you're seeing? Also, can you DM us your account's email address? We'll take a look /SJ https://t.co/ldFdZRiNAt",Tue Oct 17 19:17:02 +0000 2017,Tue Oct 17 20:55:17 +0000 2017
21,6029,117986,1,False,"@SpotifyCares I've noticed I can't play Pearl Jam and The Killers anymore, on my phone and my laptop.

@SpotifyCares I tap on the tracks on my S7, and the songs just won't play, on my laptop, it says, the song isn't avalible.","@117986 Hey Anthony! Are you getting any specific error messages when playing the tracks? If so, can you send us a screenshot of it? /FR

@117986 Does logging out, restarting your device, and logging back in make any difference? Let us know how it goes /FR",Tue Oct 17 03:06:40 +0000 2017,Tue Oct 17 03:32:30 +0000 2017
22,11123,436955,1,False,@SpotifyCares my son has an account with you. He has passed away. How do I cancel his account? Is there a number I can call?,@436955 Hey there. Could you DM us your son's username and email address? We'll take a look /DF https://t.co/ldFdZRiNAt,Fri Oct 27 19:14:43 +0000 2017,Fri Oct 27 20:14:02 +0000 2017
23,19099,697060,1,False,i really would like for @115888 to bring back the ability to message songs to friends,@697060 Hi Nick! We have some info here: https://t.co/xW1fRS96NG. Let us know how things go /HR,Tue Nov 14 18:37:02 +0000 2017,Tue Nov 14 19:52:08 +0000 2017
24,10937,308735,1,False,@115888 sometimes the thumbs up/down are visible sometimes not. So confusing! How can I find them and why aren't they always there??,"@308735 Hey there! Can you let us know what device, OS, and Spotify version you're running? Also, are you listening to a Radio playlist? /LM",Fri Oct 27 12:12:10 +0000 2017,Fri Oct 27 14:22:29 +0000 2017
25,20837,555484,1,False,"this is cool! :o https://t.co/kaADuDNdzv

can't seem to find a way of using my Google Home to control my PC's playback though.

@SpotifyCares, is that a thing you can do?

@SpotifyCares No problem, thank you! Would be a nice feature to have, especially if you're tidying your room (like I am now...) :P

@SpotifyCares Spotify, I love you. :P","@555484 Hey! We're afraid this isn't possible right now, but we'll be sure to pass on your feedback /JP

@555484 No worries at all! Have a... https://t.co/FQulrDtFky /JP",Fri Nov 17 17:27:48 +0000 2017,Fri Nov 17 17:59:51 +0000 2017
26,6608,551959,1,False,"It sucks that #LEMONADE is still not on @115888...guys, c'mon! I need more @12899 in my life.","@551959 Hey Elisabeth! We're working on it, and we hope to have it available soon. There's more info here: https://t.co/WI0fi3V8Cu /RI",Wed Oct 18 04:22:29 +0000 2017,Wed Oct 18 04:25:26 +0000 2017
27,19947,722554,2,True,Bruh what happened to the Take Care album?! @115888 @6860 https://t.co/MqjrFSM1Tj,"@722554 Hi there! Sometimes content is temporarily removed due to licensing, but we hope to have it back soon: https://t.co/VMrgnGpB4G. Hope this info helps /GK",Thu Nov 16 10:24:54 +0000 2017,Thu Nov 16 14:20:14 +0000 2017
28,24388,772945,1,False,"3
@115888 Hello, I really hope u guys put ""Mic Drop Remix"" by @133324, @134388 &amp; @4985 in one of most popular playlists","@772945 Hey there! Thanks for the feedback. Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /NQ",Sun Nov 26 17:19:55 +0000 2017,Mon Nov 27 00:27:42 +0000 2017
29,13804,450577,1,False,"No, I dj/produce material for the artiste that has the wrong content on their page! I don’t wanna release songs knowing it not sorted https://t.co/z8tgYE5fgb","@450577 We understand how you feel. Don't worry, we've passed this on to our Content team. Hopefully it gets fixed soon /SY",Fri Nov 03 15:23:30 +0000 2017,Fri Nov 03 22:54:48 +0000 2017
30,7288,651814,1,False,@SpotifyCares please bring back BTOB's Complete album :-(,"@651814 Hey Julia! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /MQ",Thu Oct 19 15:40:07 +0000 2017,Thu Oct 19 16:37:52 +0000 2017
31,11006,433416,2,True,"@125633 I got a really though issue our last realease (second) is displayed on a brand new artist page, please we need help","@433416 Hey, we're sorry to hear this! Could you fill out the form here https://t.co/p1wbtdELHu? The Artist Support team should be able to help /SP https://t.co/ldFdZRiNAt",Fri Oct 27 15:19:56 +0000 2017,Fri Oct 27 16:24:07 +0000 2017
32,15700,130904,1,False,"@SpotifyCares Are you guys doing a “Top Songs 2017” playlist? I liked the 2016 one you guys did :)

@SpotifyCares Sounds awesome!","@130904 Hey Ben! We don't have any info on this yet. Just keep your eyes peeled for any updates /JP

@130904 Great! For anything else, we're just a tweet away /JP",Tue Nov 07 18:34:34 +0000 2017,Tue Nov 07 19:32:04 +0000 2017
33,26447,823053,1,False,My @115888  is acting up and im just tryna listen to my music in peace,"@823053 Hey, that's not cool! Can you tell us what's happening exactly? We'll see what we can suggest /CH",Thu Nov 30 06:09:59 +0000 2017,Thu Nov 30 06:20:25 +0000 2017
34,20738,740680,1,False,"@SpotifyCares Just signed up and am surprised to find no parental controls for explicit lyrics. Is this right, or am I missing something? Bit odd when you promote a family plan.

@SpotifyCares I've voted for that, as have over 1600 others. The thread has been running for over 5 years! It can't be that hard to implement? Surely protecting children from explicit lyrics should be a priority for spotify rather than an afterthought?","@740680 Hey Andrew! We can see how that’d be useful. You can vote for the official idea here: https://t.co/3jHA9etigY /LS

@740680 We hear you loud and clear! We can’t make any promises, but we’ll pass your feedback onto the right folks. If you need us for anything else, we're just a tweet away /LS",Fri Nov 17 14:47:34 +0000 2017,Fri Nov 17 18:21:06 +0000 2017
35,4516,334448,1,False,"@SpotifyCares Dm

@SpotifyCares Thx 1 more dm 🦄",@334448 Hi! We've replied to your DM. We'll continue helping you there 🙂 /BX,Fri Oct 13 16:31:12 +0000 2017,Fri Oct 13 19:32:22 +0000 2017
36,22487,783425,1,False,"@SpotifyCares I can't get my son signed in our family plan. I filled out the confirmation info, but the submit button does not highlight?",@783425 Hey there! Can you DM us both of your accounts' email addresses? We'll take a look /RB https://t.co/ldFdZRiNAt,Wed Nov 22 02:59:36 +0000 2017,Wed Nov 22 04:59:22 +0000 2017
37,20298,731473,1,False,"Blegh, some of the old Get Scraped Deamau5 tracks got removed from spotify ;(

@SpotifyCares https://t.co/G6J9keroaj #10 'bored of canada' is greyed out, doesn't show up in searches

@SpotifyCares Should be Netherlands","@731473 Hey there! Can you send us a screenshot of how the album appears on your end? Also, what country is your Spotify account set to? We'll keep an eye out for your reply /LP

@731473 Thanks! What country is your account set to? We'll check backstage /AP

@731473 Got it. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again to you soon! Let us know if there's anything else /AP",Thu Nov 16 21:36:02 +0000 2017,Thu Nov 16 23:39:59 +0000 2017
38,23668,154725,1,False,"@SpotifyCares how can i change my credit card info from the app?

@SpotifyCares ok, thank you for the info, I'll get it done asap.","@154725 Hi Jay! Right now it's not possible to update your payment info from the Spotify app. If you need to make any changes, head over to https://t.co/71whArJDaT. Hope this helps /WW

@154725 You're welcome! Let us know if you need anything else. We're ... https://t.co/owHzBkyef2 🙂 /WW",Fri Nov 24 18:45:50 +0000 2017,Fri Nov 24 21:53:03 +0000 2017
39,8535,349085,1,False,"@115888 See if you ever want to make an IOS app that works? That’d be great.

@SpotifyCares IOS11 on an iPhone 6s, playing a playlist on shuffle it’ll just stop and won’t play anything else again even if I close and open again.

@SpotifyCares Even tried reinstalling two or three times

@SpotifyCares No none at all, really strange and really frustrating when you’re on the speaker at a party. Not a premium account if that helps at all

@SpotifyCares Seems to be most of the ones I listened to, specifically Eminem relapse and bugzy malone king of the north and it happens on both","@349085 Hey, help's here! What’s happening exactly? Can you let us know the device, iOS and Spotify version you’re using? /YM

@349085 That's odd. Are you getting any specific error messages? We'll see what we can suggest /YM

@349085 Hmm. Is this happening to all playlists or albums? Also, does the issue occur while on 3G/4G, WiFi, or both? /YM

@349085 Can you send us the links to these albums or playlists via DM? Just tap the three dots &gt; Share &gt; Copy Link. We'll take a look backstage /YM https://t.co/ldFdZRiNAt",Sat Oct 21 20:26:31 +0000 2017,Sun Oct 22 00:15:07 +0000 2017
40,26891,224361,1,False,id::93__credit_card__:@SpotifyCares My account was hacked/compromised. I’ve regained access and changed my password but I noticed there w,@224361 Hey there! Looks like your tweet is incomplete. Can you resend that for us? We'll be here waiting /RB,Fri Dec 01 00:55:02 +0000 2017,Fri Dec 01 01:54:39 +0000 2017
41,20542,736695,1,False,.@115888 please explain what's going on. https://t.co/wZ3bCxpGw5,@736695 Hi Anna! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /MU,Fri Nov 17 08:40:34 +0000 2017,Fri Nov 17 08:56:05 +0000 2017
42,22683,267249,1,False,@SpotifyCares I just went to pay for premium using PayPal and the page bugged out. Don't wanna attempt again in case I get charged twice. Any help?,"@267249 Hey Yazmin, we're here to help! Could you DM us your account's username and email address? We'll take a look backstage for you /BX https://t.co/ldFdZRiNAt",Wed Nov 22 15:01:13 +0000 2017,Wed Nov 22 17:10:59 +0000 2017
43,11335,282723,1,False,@115888 I don't care about Call of Duty. Stop upsetting my baby with gunshot sounds every other song.,@282723 Hey! Can you DM us your account's email address? We'll check backstage and see what we can suggest /NY https://t.co/ldFdZRiNAt,Sat Oct 28 11:44:38 +0000 2017,Sat Oct 28 14:34:42 +0000 2017
44,10035,406580,1,False,"Dear @115888 - it would be super handy if we could edit the order of songs in playlists on phones... https://t.co/ZOLl1uzl0H

@SpotifyCares THANK YOU!!  👏🏻💃🏼👏🏻","@406580 Hi Amanda! You can sort the songs in your playlists by following our guide here: https://t.co/5hjtm5AdqM /AU

@406580 You're welcome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv 🙂 /AU",Wed Oct 25 14:33:52 +0000 2017,Wed Oct 25 16:07:46 +0000 2017
45,13816,472404,1,False,Why don’t Spotify do a ‘recently added’ like iTunes? Why’s Spotify shuffle so poor? Cmon guys @SpotifyCares,@472404 Hey there! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /MQ,Fri Nov 03 15:48:39 +0000 2017,Fri Nov 03 16:43:31 +0000 2017
46,27041,228590,1,False,"You should build a podcast app, @115888",@228590 We can see how that’d be useful! We’d recommend suggesting it in our Community where you can get support from other fans: https://t.co/D6JsbrPT3P /JN,Fri Dec 01 10:32:44 +0000 2017,Fri Dec 01 12:22:45 +0000 2017
47,27083,229355,1,False,@SpotifyCares Thx spot,"@229355 Hey! We've just sent you a bit more info over DM. We'll carry on helping out there /SP

@229355 No worries, we're always happy to help! Give us a shout if you need us again /SP",Fri Dec 01 13:33:25 +0000 2017,Fri Dec 01 13:50:43 +0000 2017
48,4245,541189,1,False,@115888 please tell me you’re going to release an AppleWatch app soon!? Want to run w/o phone!,@541189 Hey there! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E3YGDs /DD,Fri Oct 13 05:11:23 +0000 2017,Fri Oct 13 05:22:51 +0000 2017
49,21738,771335,1,False,"@SpotifyCares i downloaded the app to create an account,and it wont let me??i tap the button and nothing is happening,yet i redownloaded the app again and same things happening","@771335 Hey Hannah, help's arrived! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /PC",Mon Nov 20 19:34:47 +0000 2017,Mon Nov 20 21:28:37 +0000 2017
50,28075,254216,1,False,@115888 Please bring Spotify to #BlackBerry10,@254216 Hey there! We hear you loud and clear. We can’t make any promises but we’ll pass your feedback onto the right folks /NQ,Sun Dec 03 03:54:03 +0000 2017,Sun Dec 03 04:21:50 +0000 2017
51,16427,634063,1,False,Spotify Premium for students!* *We only count college students so fuck you all,@634063 Hey! We've just sent a DM your way. Let's carry on chatting there /JQ,Thu Nov 09 02:34:08 +0000 2017,Thu Nov 09 03:09:22 +0000 2017
52,7232,217299,1,False,"@SpotifyCares your web player is not working.  Either nothing happens when I click play, or it says ""This song is not available"".

@SpotifyCares I tried everything you suggested, cleared cookies and cache, using incognito browser...

@SpotifyCares Thanks.  

I am using Chrome Version 60.0.3112.113 (Official Build) (64-bit) on Mac Yosemite 10.10.5","@217299 Hey, thanks for keeping us posted. What browsers have you tried? Could you also let us know the operating system you're on? /AY

@217299 Got it. Try logging out &gt; restarting your device &gt; logging back in. Does that make a difference? /AY",Thu Oct 19 13:51:31 +0000 2017,Thu Oct 19 14:52:05 +0000 2017
53,26055,813005,1,False,"Hey, @SpotifyCares love that you added the ability to like or dislike songs in Discover Playlists. Looking forward to seeing how this improves my list in the future.

@SpotifyCares No, I was saying that I noticed that it's now a feature when I play my Discover list and just wanted to let you know I appreciate it!","@813005 Hey, we can see how that’d be useful! We’d recommend suggesting it in our Community where you can get support from other fans: https://t.co/D6JsbrPT3P /JM

@813005 Oops, apologies for the oversight. We're glad that you liked it! Give us a shout if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv 💚 /JM",Wed Nov 29 13:25:07 +0000 2017,Wed Nov 29 14:29:00 +0000 2017
54,11903,713014,1,False,@SpotifyCares I need help! I’m being charge Monthly for an account I made which I forgot the username to.,@713014 Hey Matthew! We've just sent you a bit more info over DM. We'll carry on helping out there /KB,Mon Oct 30 03:36:22 +0000 2017,Mon Oct 30 04:13:35 +0000 2017
55,4240,369725,1,False,"@115888 When Russia will be the Spotify, you need to open access for Russian users?

@SpotifyCares Well, let's wait and hope that very soon it will appear in Russia. And thanks for the answer)","@369725 Hey there! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSXrr8k /AN

@369725 You're welcome! If you ever need anything else, just shout and we'll come running 🏃 /JX",Fri Oct 13 04:52:08 +0000 2017,Fri Oct 13 21:05:10 +0000 2017
56,23871,364803,1,False,Hey @115888 - I still don’t have access to my Spotify account after submitting information 10 months ago... can we fix this?,"@364803 Hi Cheyanne, help's here. Can you DM us your account's email address? We'll check backstage and see what we can suggest /NY https://t.co/ldFdZRiNAt",Sat Nov 25 05:50:11 +0000 2017,Sat Nov 25 11:21:26 +0000 2017
57,6456,530160,1,False,"Hey @115888, what happened to Slash Records? A bunch of punk classics are gone. :/","@530160 Hi, sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /RB",Tue Oct 17 20:59:42 +0000 2017,Tue Oct 17 22:10:59 +0000 2017
58,26618,136355,1,False,"@117153 if a user had a Spotify account through PSN, and they cancelled the PSN account, will that also cancel their premium account with Spotify? I no longer have the premium access, though I paid for it last month.",@136355 Hi there! Can you DM us your account's email address or username? We'll take a look under the hood /XF https://t.co/ldFdZRiNAt,Thu Nov 30 15:35:44 +0000 2017,Thu Nov 30 15:53:39 +0000 2017
59,2034,201245,1,False,So annoyed at @SpotifyCares. I pay for Spotify premium but it says it's 'unable' to log me in with an email and password I know is correct 😡,@201245 Hey Charlie! Can you DM us your account's email address and username? We'll take a look backstage /SU https://t.co/ldFdZRiNAt,Sun Oct 08 14:48:45 +0000 2017,Sun Oct 08 16:40:35 +0000 2017
60,15428,522425,1,False,What happened @SpotifyCares ?? #30daysinsteadof60 https://t.co/vtgwUX5p0m,@522425 Hey Annie! Can you DM us your account's username or email address? We'll take a look backstage /YM https://t.co/ldFdZRiNAt,Tue Nov 07 05:43:09 +0000 2017,Tue Nov 07 06:00:53 +0000 2017
61,2612,327994,1,False,@115888 pls bring back the lyrics feature and create an option to change usernames. some of us created our accounts in 5th grade so...,"@327994 Hey there! Thanks for sharing your thoughts. Both are unavailable at the moment. Rest assured, all feedback are heard /PB",Mon Oct 09 21:00:18 +0000 2017,Mon Oct 09 21:55:11 +0000 2017
62,22340,779544,1,False,"@SpotifyCares Hi. I’m trying to give you guys money, but you have yet to repair the glitch allowing people to update their payment information. How do I resolve?",@779544 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,Tue Nov 21 19:47:49 +0000 2017,Tue Nov 21 21:05:12 +0000 2017
63,9565,392151,1,False,"How is it that every update to the @115888 android app makes it progressively worse?

@SpotifyCares it's very slow and unresponsive. Takes a while for the app to load. Sony Z2 running Android 5.1.1.

@SpotifyCares i never had any problems with older versions of the app.

@SpotifyCares I appreciate that the phone is 3 years old but the app used to work flawlessly. Each version now seems slower/ worse.

@SpotifyCares 8.4.17.640.... Apparently 😉 https://t.co/alDUpdvlyt

@SpotifyCares No, restarting doesn't help. Tbh i don't think there is much you can do. It's more that i wanted to provide some feedback​.","@392151 Hey! Can you let us know what's happening exactly? We'll keep an eye out for your message /RC

@392151 Can you let us know the Spotify version that you're using? We'll see what we can suggest /RC

@392151 Got it. Does logging out and restarting your device help? Let us know how it goes /RC

@392151 Hmm. We've just released a new version of the app. Could you try if upgrading helps? Just follow the steps here: https://t.co/EqisDMwZAT /RC",Tue Oct 24 14:33:22 +0000 2017,Tue Oct 24 16:26:28 +0000 2017
64,27758,252768,1,False,"@SpotifyCares I opened up Spotify last night and a bunch of artists/albums I had saved to my Library are completely missing, including ones downloaded to my iPhone 8 Plus. Can someone help me out?

@SpotifyCares It happened to albums that were downloaded and undownloaded. For example, I had every Relient K album saved in my library, but not all of them were downloaded to my phone. When I opened Spotify all but one of their albums were not in my Library anymore

@SpotifyCares Well it looks like they’re all back, but the downloads are still removed.
This same thing happened with Israel &amp; New Breed, and 2x4

@SpotifyCares Sure!","@252768 Hey there! What's happening exactly? Are they greyed out or only undownloaded? If you could send us a screenshot, that'd be super helpful. We'll take a closer look /AP

@252768 Thanks for letting us know. Can you also DM us your account's username or email address? We'll take a look backstage /MS",Sat Dec 02 15:33:41 +0000 2017,Sun Dec 03 14:22:47 +0000 2017
65,8495,329940,1,False,"@SpotifyCares hi there

@SpotifyCares Need some help please

@SpotifyCares I'd rather chat in the main room",@329940 Hi Jay. We've just sent a DM your way. Let's carry on chatting there /JU,Sat Oct 21 18:17:18 +0000 2017,Sat Oct 21 22:39:05 +0000 2017
66,4263,318330,1,False,Aight @115888 how about not playing horror movie ads when I’m listening to music to sleep?,"@318330 Hi Jake! Sorry, we didn't mean to scare you. We'll pass your feedback on to our Ads team /AC",Fri Oct 13 05:58:33 +0000 2017,Fri Oct 13 06:07:57 +0000 2017
67,7139,555136,1,False,"@SpotifyCares I'm trying to play @85124 &amp; it keeps saying the song is unavailable, on desktop &amp; mobile - no prob with others. Help?

@SpotifyCares Desktop at work is Windows 7, Spotify version 1.0.65.320.gac7a8e02. Mobile is Samsung S7 edge, so android, using 8.4.23.784 armV7.

@SpotifyCares Already done that, it didn't work :( it's really weird, it only seems to be Banks - everything else I've tried plays fine!

@SpotifyCares  https://t.co/z1EnWzxWM0","@555136 Hi Peter, that doesn't sound good. Could you let us know the operating systems and Spotify versions you're running on both devices? /JO

@555136 Gotcha. Can you try logging out, restarting both devices, and logging back in to see if it makes a difference? /JO

@555136 Can you send us a screenshot of the exact error message? We'd like to take a closer look /KM

@555136 Thanks. Can you DM us your account's email address or username? We'll check backstage /KM https://t.co/ldFdZRiNAt",Thu Oct 19 09:52:11 +0000 2017,Thu Oct 19 12:28:22 +0000 2017
68,3384,537031,1,False,@115888 @116130 why is there no option for a ‘clear all’ in the recently played section? It’s very tedious doing it one by one 😴 #iphone,"@537031 Hey Kirk, the cavalry's arrived! We can see how that’d be useful! You can vote for the official idea here: https://t.co/KKJ7MP4h4F /PX",Wed Oct 11 17:19:14 +0000 2017,Wed Oct 11 17:55:07 +0000 2017
